corridor_id,receiver_id,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,4181,-2.438732983,40.18628594,-10.93976407
corridor_0,4182,-4.194447399,38.43057153,-12.69547849
corridor_0,4183,-6.16785133,36.45716759,-14.66888242
corridor_0,4265,-6.928576351,35.69644257,-15.42960744
corridor_0,4266,-3.765011669,38.86000726,-12.26604276
corridor_0,4267,-2.41785133,40.20716759,-10.91888242
corridor_0,4268,-1.307412029,41.3176069,-9.80844312
corridor_0,4269,-0.361081005,42.26393792,-8.862112096
corridor_0,4270,0.30084145,42.92586037,-8.200189641
corridor_0,4271,1.058772205,43.68379113,-7.442258885
corridor_0,4272,1.497058033,44.12207696,-7.003973058
corridor_0,4273,2.02986443,44.65488335,-6.471166661
corridor_0,4274,2.413004994,45.03802392,-6.088026097
corridor_0,4275,2.759535908,45.38455483,-5.741495183
corridor_0,4276,3.118350147,45.74336907,-5.382680943
corridor_0,4277,3.463935017,46.08895394,-5.037096074
corridor_0,4278,3.817877888,46.44289681,-4.683153203
corridor_0,4279,4.139254688,46.76427361,-4.361776402
corridor_0,4280,4.476801991,47.10182092,-4.0242291
corridor_0,4281,4.72334969,47.34836861,-3.777681401
corridor_0,4282,4.934195637,47.55921456,-3.566835454
corridor_0,4283,5.1302253,47.75524422,-3.370805791
corridor_0,4284,5.421401142,48.04642007,-3.079629949
corridor_0,4285,5.693881153,48.31890008,-2.807149938
corridor_0,4286,5.885741352,48.51076028,-2.615289739
corridor_0,4287,5.998744129,48.62376305,-2.502286962
corridor_0,4288,6.153327107,48.77834603,-2.347703984
corridor_0,4289,6.206893086,48.83191201,-2.294138005
corridor_0,4290,6.181647419,48.80666634,-2.319383672
corridor_0,4291,6.089690327,48.71470925,-2.411340764
corridor_0,4292,5.972647785,48.59766671,-2.528383306
corridor_0,4293,5.718531727,48.34355065,-2.782499364
corridor_0,4294,5.464705586,48.08972451,-3.036325505
corridor_0,4295,5.164836048,47.78985497,-3.336195043
corridor_0,4296,4.837100147,47.46211907,-3.663930943
corridor_0,4297,4.493670582,47.11868951,-4.007360509
corridor_0,4298,4.048720478,46.6737394,-4.452310613
corridor_0,4299,3.655394672,46.2804136,-4.845636418
corridor_0,4300,3.157271504,45.78229043,-5.343759587
corridor_0,4301,2.726618885,45.35163781,-5.774412206
corridor_0,4302,2.181292652,44.80631158,-6.319738439
corridor_0,4303,1.725489735,44.35050866,-6.775541356
corridor_0,4304,1.120288014,43.74530694,-7.380743077
corridor_0,4305,0.634158253,43.25917718,-7.866872838
corridor_0,4306,-0.036251903,42.58876702,-8.537282994
corridor_0,4307,-0.771733166,41.85328576,-9.272764256
corridor_0,4308,-1.337502361,41.28751656,-9.838533452
corridor_0,4309,-2.504166485,40.12085244,-11.00519758
corridor_0,4310,-6.101792217,36.52322671,-14.60282331
corridor_0,4394,-7.901293636,34.72372529,-16.40232473
corridor_0,4395,-3.292416454,39.33260247,-11.79344755
corridor_0,4396,-1.696682812,40.92833611,-10.1977139
corridor_0,4397,-0.868298412,41.75672051,-9.369329503
corridor_0,4398,-0.280949474,42.34406945,-8.781980565
corridor_0,4399,0.422099232,43.04711816,-8.078931859
corridor_0,4400,1.08888924,43.71390816,-7.41214185
corridor_0,4401,1.587691425,44.21271035,-6.913339665
corridor_0,4402,2.292216419,44.91723534,-6.208814672
corridor_0,4403,2.837489246,45.46250817,-5.663541844
corridor_0,4404,3.290618061,45.91563699,-5.21041303
corridor_0,4405,3.813414692,46.43843362,-4.687616399
corridor_0,4406,4.240519642,46.86553857,-4.260511449
corridor_0,4407,4.710974812,47.33599374,-3.790056279
corridor_0,4408,5.098372578,47.7233915,-3.402658513
corridor_0,4409,5.476046681,48.10106561,-3.02498441
corridor_0,4410,5.870459675,48.4954786,-2.630571416
corridor_0,4411,6.156283497,48.78130242,-2.344747594
corridor_0,4412,6.437903523,49.06292245,-2.063127568
corridor_0,4413,6.642653584,49.26767251,-1.858377507
corridor_0,4414,6.7668792,49.39189812,-1.734151891
corridor_0,4415,6.868453144,49.49347207,-1.632577947
corridor_0,4416,6.924204945,49.54922387,-1.576826146
corridor_0,4417,6.907076954,49.53209588,-1.593954137
corridor_0,4418,6.775023579,49.4000425,-1.726007512
corridor_0,4419,6.683386921,49.30840585,-1.81764417
corridor_0,4420,6.520560383,49.14557931,-1.980470708
corridor_0,4421,6.256644367,48.88166329,-2.244386724
corridor_0,4422,5.951647877,48.5766668,-2.549383214
corridor_0,4423,5.59928429,48.22430321,-2.9017468
corridor_0,4424,5.36585915,47.99087807,-3.135171941
